Job Name,Salary Description,Skills,City Name,Job Degree,Job Experience,Brand name,BrandIndustry,WelfareList
物联网软件开发工程师,5-7K,"['Java', 'Python', 'C#', 'MySQL', 'Redis', '不接受居家办公', '物联网经验', '上位机开发']",潍坊,大专,1-3年,盛途科技,互联网,"['包住', '定期体检', '意外险', '全勤奖', '包吃', '零食下午茶', '结婚礼金', '团建聚餐', '宿舍有空调', '五险一金', '免费工装', '底薪加提成', '餐补', '通讯补贴', '员工旅游', '生日福利', '节日福利', '保底工资', '工龄奖']"
物联网工程师,6-9K,"['C++', 'C#']",资阳,本科,1-3年,正雅齿科,医疗器械,"['生日福利', '年终奖', '团建聚餐', '餐补', '节日福利']"
物联网,5-8K,"['C++', '物联网', 'Python']",淮安,本科,经验不限,奈斯未来教育,培训/辅导机构,"['节日福利', '带薪年假', '员工旅游', '底薪加提成', '加班补助', '绩效奖金', '保底工资', '五险一金', '年终奖', '餐补']"
IOT物联网产品经理,8-12K,['运维管理'],中山,大专,3-5年,创智互联,计算机服务,"['零食下午茶', '带薪年假', '意外险', '节日福利', '绩效奖金', '节假日加班费', '有无线网', '团建聚餐', '高温补贴', '员工旅游', '五险', '股票期权', '生日福利', '定期体检', '全勤奖', '夜班补助']"
物联网平台研发工程师,8-12K·13薪,"['Python', 'MySQL', '分布式经验', '物联网经验', '掌握 Scala 编程语言', '熟悉Redis、Kafka技术']",合肥,本科,经验不限,优旦科技,储能,"['五险一金', '年终奖', '通讯补贴', '零食下午茶', '生日福利', '节日福利', '餐补', '员工旅游', '股票期权', '绩效奖金', '底薪加提成', '带薪年假', '定期体检', '五险一金', '团建聚餐']"
全栈工程师（物联网）,8-13K,"['物联网设备协议对接', '流媒体相关开发经验']",济南,大专,3-5年,中移智能,互联网,"['住房补贴', '带薪年假', '五险一金', '年终奖', '通讯补贴', '交通补助', '节日福利', '定期体检', '包吃']"
车载/物联网嵌入式软件工程师（大连）,8-12K,"['C语言', 'C++', 'C语言开发经验', '嵌入式开发经验', '计算机相关专业', '日语']",大连,本科,经验不限,海米视界,计算机软件,"['五险一金', '定期体检', '年终奖', '股票期权', '带薪年假', '节日福利']"
物联网Java后端开发实习生,90-110元/天,"['Java', 'Spring', 'Elasticsearch', 'Netty', 'MySQL', 'Redis', '接受居家办公', '物联网经验']",南京,本科,3-5年,安可讯,物联网,"['绩效奖金', '五险一金']"
物联网工程师,4-9K,"['安全集成/信息安全相关经验', '通信机房项目经验', '弱电系统集成经验', '系统集成项目管理工程师']",淮安,本科,1-3年,义贤,互联网,"['保底工资', '节假日加班费', '绩效奖金', '加班补助', '团建聚餐', '有无线网', '全勤奖', '底薪加提成', '年终奖']"
IoT 网络安全产品审核员-检测认证服务,7-12K·13薪,"['计算机相关专业', '通信相关专业', '英语六级']",青岛,本科,经验不限,莱茵工业服务,检测/认证/知识产权,[]
