Job Name,Job Salary,Job Year,Job Area,Job Degree,Job label,Industry,Scale
店员,5-7千,1-2年,广州·番禺区,大专,"['交通补贴', '餐饮补贴', '绩效奖金', '社保', '下午茶', '会员活动策划', '会员活动', '连锁服务员', '运营', '仓储服务', '餐饮服务相关', '新零售', '零售']",['交通/运输/物流'],['少于50人']
产品运营,1-1.5万·16薪,3年及以上,重庆·渝北区,本科,"['运营', '产品运营', '五险两金', '免费住宿', '免费工作餐', '带薪年休假', '带薪婚假', '生日礼物', '节日礼品', '健康体检', '疾病关爱', '培训学习']",['通信/电信/网络设备'],['1000-5000人']
全网解决方案顾问(J10991),8千-1.5万·16薪,5年及以上,上海·浦东新区,本科,"['计算机', '管理', '自动化', '需求调研', '通信', '解决方案', 'it', '技术方案', '市场拓展', '产品优化', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']",['通信/电信/网络设备'],['10000人以上']
产业服务专员（科服公司）,8千-1.5万·13薪,3年及以上,无锡·滨湖区,本科,"['物联网行业', '产业服务', '行业协会', '五险一金', '通讯补贴', '餐饮补贴', '绩效奖金', '年终奖金']",['政府/公共事业'],['50-150人']
售前工程师,1-1.5万·14薪,3年及以上,温州·鹿城区,本科,"['招投标', '解决方案', '售前', '技术方案', '需求文档', '调研', '售前技术支持', '客户需求对接', '方案宣讲', '周末双休', '法定节假日', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']",['通信/电信/网络设备'],['50-150人']
项目支持,8千-1.5万·16薪,2年及以上,郑州,本科,"['需求分析', '物联网', '五险一金', '餐饮补贴', '通讯补贴', '年终奖金']",['通信/电信/网络设备'],['1000-5000人']
智能交通、智慧高速产品专员,1.2-1.5万·13薪,1-3年,北京·顺义区,本科,"['需求分析', '产品设计', '产品开发', '产品规划', '需求文档', '文档撰写', '产品演示', '产品管理', '需求管理', '业务指导', '五险', '绩效奖金', '全勤奖', '年终奖金', '通讯补贴', '周末双休', '带薪年假', '节日福利', '午餐']",['电子技术/半导体/集成电路'],['少于50人']
软件解决方案工程师（深圳）,1.5-2万·15薪,3-4年,深圳,大专,"['解决方案', '政务软件', '智慧医疗', 'HIS', 'LIS', '集成', '五险一金', '年终奖金', '绩效奖金', '定期体检']",['计算机软件'],['1000-5000人']
5G+工业互联网解决方案工程师,1.5-2万·14薪,3-4年,杭州,本科,"['mes', 'plm', '解决方案', '方案设计', '自动化', '物联网', '人工智能', '五险一金', '补充医疗保险', '补充公积金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']",['计算机软件'],['150-500人']
技术运维（DBA方向）,8千-1.5万·16薪,无需经验,重庆·渝北区,本科,"['运维工具', '五险一金', '餐饮补贴', '通讯补贴', '年终奖金']",['通信/电信/网络设备'],['1000-5000人']
售前工程师（浙江）,1-1.5万·13薪,2年及以上,杭州·滨江区,本科,"['五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '计算机', '管理', '推广', '宣传', 'it', '技术交流', '安防', '售前方案', '安防行业', 'it项目管理']",['计算机软件'],['1000-5000人']
解决方案专家（智慧园区）,1-2万·13薪,5年及以上,成都·锦江区,本科,"['计算机', '需求分析', '自动化', '软件开发', '方案设计', '解决方案', '智能化', '详细设计', '技术架构', '系统集成', '五险一金', '补充医疗保险', '餐饮补贴', '通讯补贴', '专业培训', '定期体检']",['计算机软件'],['1000-5000人']
销售助理,6-8千,2年,上海·浦东新区,大专,"['销售', '助理', '销售助理', '市场助理', '业务跟单', '跟单', '市场营销', '销售内勤', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '带薪年假', '节日福利', '做五休二']",['电子技术/半导体/集成电路'],['500-1000人']
市场运营（营销策划/品牌宣传方向）,8千-1万·16薪,2年及以上,重庆·渝北区,本科,"['五险两金', '免费住宿', '免费工作餐', '带薪年休假', '带薪婚假', '生日礼物', '节日礼品', '健康体检', '疾病关爱', '培训学习']",['通信/电信/网络设备'],['1000-5000人']
物流解决方案经理,5千-1万,2年及以上,蚌埠,大专,"['定期体检', '工作餐', '五险一金', '绩效奖金', '招投标', '标书制作', '第三方物流', '物流方案', '销售工具']",['交通/运输/物流'],['150-500人']
嵌入式开发工程师（ESP32),1.5-2.5万,3年及以上,广州·增城区,本科,"['计算机', '电子', '调试', '功能测试', '物联网', '技术文档', '量产', 'wifi', '电路图', '电路原理图', '包吃', '补充医疗保险', '节日福利', '工作餐']",['机械/设备/重工'],['150-500人']
总账财务,5-8千,3年及以上,苏州,大专,['五险一金'],['房地产'],['50-150人']
项目支持,8千-1.5万·16薪,3年及以上,南昌,本科,"['需求调研', '五险一金', '餐饮补贴', '通讯补贴', '年终奖金']",['通信/电信/网络设备'],['1000-5000人']
仪表测试工程师,1.5-2万·14薪,3年及以上,杭州·滨江区,本科,"['自动化脚本', 'python', 'java', '测试', '自动化测试', '产品测试', '性能测试', '软件测试', '周末双休', '五险一金', '节日福利', '餐饮补贴', '加班补贴']",['电子技术/半导体/集成电路'],['500-1000人']
财务经理,1.5-2万,5年及以上,上海·青浦区,本科,"['财务', '财务管理', '成本控制', '运营管理', '尽职调查', '成本测算', '成本分析', '融资', '财务核算', '税务筹划', '餐饮补贴', '五险一金', '年终奖金', '员工旅游', '专业培训', '提成奖金', '多劳多得']",['计算机服务(系统、数据服务、维修)'],['']
SQE工程师（注塑模厂）,8千-1万,1年及以上,深圳·宝安区,中技/中专,"['模具', '员工宿舍', '五险一金', '带薪年假', '免费班车', '出差补贴', '年终奖金', '全勤奖', '公司旅游', '专业培训', '定期体检', '节日福利', '生日福利', '员工旅游']",['计算机软件'],['50-150人']
项目支持（市场运营、品牌宣传）,8千-1.5万·16薪,2年及以上,重庆·渝北区,本科,"['五险一金', '餐饮补贴', '通讯补贴', '年终奖金']",['通信/电信/网络设备'],['1000-5000人']
解决方案经理,1.5-2.5万,5年及以上,杭州·富阳区,本科,"['软件开发', '解决方案', '原型设计', '技术交流', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']",['电子技术/半导体/集成电路'],['50-150人']
